TOKEN_VOIDTYPE void
TOKEN_WHITESPACE [space]
TOKEN_ID      myfunc
TOKEN__LEFTPAREN (
TOKEN_REIGHTPAREN )
TOKEN_LCB 	{
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_INTTYPE int
TOKEN_WHITESPACE [space]
TOKEN_ID 	x
TOKEN_SEMICOLON ;
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_ID x
TOKEN_WHITESPACE [space]
TOKEN_ASSIGN =
TOKEN_WHITESPACE [space]
TOKEN_CONSTANT 3
TOKEN_WHITESPACE [space]
TOKEN_ARITHMATICOP -
TOKEN_WHITESPACE [space]
TOKEN_CONSTANT 2
TOKEN_SEMICOLON ;
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_RETURN return
TOKEN_WHITESPACE [space]
TOKEN_ID x
TOKEN_SEMICOLON ;
TOKEN_WHITESPACE \n
TOKEN_RCB }
