TOKEN_INTTYPE int
TOKEN_WHITESPACE [space]
TOKEN_ID      IfStruction
TOKEN__LEFTPAREN (
TOKEN_REIGHTPAREN )
TOKEN_LCB 	{
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_IFCONDITION if
TOKEN__LEFTPAREN (
TOKEN_ID x
TOKEN_WHITESPACE [space]
TOKEN_ASSIGN =
TOKEN_WHITESPACE [space]
TOKEN_CONSTANT 3
TOKEN_REIGHTPAREN )
TOKEN_LCB 	{
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_WHITESPACE \t
TOKEN_RETURN return
TOKEN_WHITESPACE [space]
TOKEN_CONSTANT 3
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_RCB }
TOKEN_ID      else
TOKEN_LCB 	{
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_WHITESPACE \t
TOKEN_RETURN return
TOKEN_WHITESPACE [space]
TOKEN_CONSTANT 5
TOKEN_WHITESPACE \n
TOKEN_WHITESPACE \t
TOKEN_RCB }
TOKEN_WHITESPACE \n
TOKEN_RCB }
